GAME,BlackElo,BlackRatingDiff,Date,ECO,Event,Opening,White_Result,Black_Result,Result,Site,Termination,TimeControl,UTCTime,WhiteElo,WhiteRatingDiff,Black_elo_category,White_elo_category,starting_time,increment,Game_type,Total_moves,Black_blunders,White_blunders,Black_mistakes,White_mistakes,Black_inaccuracies,White_inaccuracies,Black_inferior_moves,White_inferior_moves,Black_ts_moves,White_ts_moves,Black_ts_blunders,White_ts_blunders,Black_ts_mistakes,White_ts_mistake,Black_long_moves,White_long_moves,Black_bad_long_moves,White_bad_long_moves,Game_flips,Game_flips_ts
68101,1697,-5,2020.09.01,A10,Rated Bullet tournament https://lichess.org/tournament/Ob1BCTUI,English Opening: Great Snake Variation,1,0,Jan-00,https://lichess.org/7oUikBDB,Normal,60+0,1:00:03,1747,5,Low rating,Low rating,60,0,Bullet,53,4,3,4,2,4,2,12,7,0,0,0,0,0,0,1,0,0,0,5,0
68133,1230,35,2020.09.01,C41,Rated Rapid tournament https://lichess.org/tournament/AXHVHEkn,Philidor Defense,0,1,0-1,https://lichess.org/JSTPwSZp,Normal,600+5,1:00:06,1159,-5,Low rating,Low rating,600,5,Rapid,36,3,5,2,1,2,0,7,6,0,0,0,0,0,0,0,0,0,0,6,0
68144,1348,-6,2020.09.01,B12,Rated Blitz game,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",0.5,0.5,1/2-1/2,https://lichess.org/R2ZG3e2e,Time forfeit,300+0,1:00:06,1262,1,Low rating,Low rating,300,0,Blitz,124,4,5,5,4,2,1,11,10,24,19,1,0,0,0,0,0,0,0,5,0
68180,1765,104,2020.09.01,A00,Rated Rapid game,Van't Kruijs Opening,0,1,0-1,https://lichess.org/iPkOCu3C,Normal,600+0,1:00:07,1794,-6,Low rating,Low rating,600,0,Rapid,62,1,2,4,7,0,6,5,15,0,0,0,0,0,0,0,0,0,0,2,0
68183,1346,7,2020.09.01,D00,Rated Rapid game,Queen's Pawn Game: Mason Attack,0,1,0-1,https://lichess.org/kVb5FrSn,Normal,600+0,1:00:07,1390,-7,Low rating,Low rating,600,0,Rapid,39,1,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,3,0
68204,2231,-4,2020.09.01,C42,Rated Blitz tournament https://lichess.org/tournament/Cm6MqY5y,Russian Game: Three Knights Game,1,0,Jan-00,https://lichess.org/ELcifKeC,Normal,180+2,1:00:08,2364,4,High rating,High rating,180,2,Blitz,37,1,0,4,1,1,4,6,5,0,0,0,0,0,0,2,0,1,0,3,0
68222,1343,-2,2020.09.01,D31,Rated Rapid tournament https://lichess.org/tournament/s69x4D5S,Queen's Gambit Declined: Queen's Knight Variation,1,0,Jan-00,https://lichess.org/gpd3WfGt,Normal,600+5,1:00:08,1757,1,Low rating,Low rating,600,5,Rapid,41,1,0,2,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,3,0
68229,1874,0,2020.09.01,A84,Rated Bullet game,Dutch Defense: Rubinstein Variation,0.5,0.5,1/2-1/2,https://lichess.org/Xi7kIRWX,Normal,120+1,1:00:09,1887,0,Low rating,Low rating,120,1,Bullet,100,2,1,4,5,2,1,8,7,0,6,0,1,0,0,0,2,0,1,6,1
68236,1753,-6,2020.09.01,C44,Rated Bullet game,Scotch Game: Göring Gambit,1,0,Jan-00,https://lichess.org/Pv53WD1G,Normal,120+1,1:00:09,1699,23,Low rating,Low rating,120,1,Bullet,57,2,0,4,4,3,1,9,5,0,0,0,0,0,0,1,2,0,0,9,0
68261,1306,-14,2020.09.01,A06,Rated Blitz tournament https://lichess.org/tournament/9d5tsVtm,Réti Opening,1,0,Jan-00,https://lichess.org/Q4OBmYNK,Normal,240+2,1:00:12,1370,11,Low rating,Low rating,240,2,Blitz,43,5,2,1,3,0,3,6,8,0,0,0,0,0,0,0,2,0,1,8,0
68262,1358,17,2020.09.01,A40,Rated Blitz tournament https://lichess.org/tournament/9d5tsVtm,Mikenas Defense,0,1,0-1,https://lichess.org/kYfowznZ,Normal,240+2,1:00:12,1229,-14,Low rating,Low rating,240,2,Blitz,68,0,2,3,2,11,10,14,14,0,0,0,0,0,0,0,0,0,0,6,0
68270,1409,-6,2020.09.01,C45,Rated Bullet tournament https://lichess.org/tournament/NL0SoqLE,Scotch Game: Haxo Gambit,1,0,Jan-00,https://lichess.org/PtY96cob,Time forfeit,60+0,1:00:12,1443,5,Low rating,Low rating,60,0,Bullet,55,2,0,1,3,3,3,6,6,5,0,0,0,0,0,1,0,0,0,3,0
68273,1676,17,2020.09.01,D00,Rated Bullet tournament https://lichess.org/tournament/NL0SoqLE,Queen's Pawn Game: Steinitz Countergambit,0,1,0-1,https://lichess.org/ByuLoMLH,Time forfeit,60+0,1:00:12,1672,-6,Low rating,Low rating,60,0,Bullet,46,3,2,2,3,5,5,10,10,0,4,0,1,0,1,2,1,2,0,7,1
68275,1301,-6,2020.09.01,C01,Rated Bullet tournament https://lichess.org/tournament/NL0SoqLE,French Defense: Carlson Gambit,1,0,Jan-00,https://lichess.org/JZIz22Xm,Normal,60+0,1:00:12,1299,6,Low rating,Low rating,60,0,Bullet,53,1,0,5,3,3,5,9,8,0,0,0,0,0,0,0,1,0,1,6,0
68298,993,4,2020.09.01,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,0,1,0-1,https://lichess.org/5YqfPVv5,Time forfeit,60+0,1:00:13,895,-7,Low rating,Low rating,60,0,Bullet,44,2,2,2,1,3,2,7,5,1,4,0,1,0,0,0,3,0,0,3,0
68312,2035,-6,2020.09.01,A03,Rated Blitz game,Bird Opening: Dutch Variation,1,0,Jan-00,https://lichess.org/qeRvsmYp,Time forfeit,180+0,1:00:14,2028,6,High rating,High rating,180,0,Blitz,81,0,0,6,6,9,9,15,15,5,0,0,0,2,0,3,1,3,1,6,0
68316,1676,5,2020.09.01,B12,Rated Blitz game,"Caro-Kann Defense: Advance Variation, Short Variation",0,1,0-1,https://lichess.org/EZL3XDt5,Normal,180+0,1:00:14,1631,-5,Low rating,Low rating,180,0,Blitz,108,5,5,4,7,0,1,9,13,16,0,0,0,0,0,1,1,1,1,15,0
68339,1123,39,2020.09.01,D00,Rated Rapid game,Queen's Pawn Game: Mason Attack,0,1,0-1,https://lichess.org/T2D9fVjh,Normal,900+0,1:00:16,1290,-25,Low rating,Low rating,900,0,Rapid,66,0,1,1,2,3,2,4,5,0,0,0,0,0,0,0,0,0,0,2,0
68348,1376,-5,2020.09.01,D00,Rated Blitz game,Queen's Pawn Game: Mason Attack,1,0,Jan-00,https://lichess.org/yLT6JZ6i,Normal,180+2,1:00:16,1373,10,Low rating,Low rating,180,2,Blitz,65,2,1,0,3,4,4,6,8,0,0,0,0,0,0,0,2,0,1,5,0
68353,1354,-6,2020.09.01,B01,Rated Rapid game,Scandinavian Defense: Mieses-Kotroc Variation,1,0,Jan-00,https://lichess.org/3KR7gEBI,Normal,600+0,1:00:16,1327,7,Low rating,Low rating,600,0,Rapid,59,4,4,1,1,0,2,5,7,0,0,0,0,0,0,0,2,0,2,5,0
68357,2015,26,2020.09.01,C62,Rated Rapid game,Ruy Lopez: Steinitz Defense,0,1,0-1,https://lichess.org/4rLXlWay,Normal,600+0,1:00:16,1893,-4,High rating,Low rating,600,0,Rapid,74,0,1,3,4,4,3,7,8,0,0,0,0,0,0,1,0,0,0,5,0
68363,1244,0,2020.09.01,A34,Rated Blitz tournament https://lichess.org/tournament/JdRvi1jt,"English Opening: Symmetrical Variation, Normal Variation",1,0,Jan-00,https://lichess.org/rvucqMAr,Time forfeit,180+2,1:00:17,1868,0,Low rating,Low rating,180,2,Blitz,51,1,0,2,0,2,0,5,0,4,0,0,0,0,0,0,1,0,0,1,0
68366,1705,-10,2020.09.01,B23,Rated Classical game,Sicilian Defense: Closed Variation,1,0,Jan-00,https://lichess.org/BiZ3OiFs,Normal,1800+5,1:00:17,1846,3,Low rating,Low rating,1800,5,Classical,59,1,1,2,4,5,4,8,9,0,0,0,0,0,0,0,0,0,0,5,0
68392,1873,6,2020.09.01,C00,Rated Bullet game,Rat Defense: Small Center Defense,0,1,0-1,https://lichess.org/hZnZlWRy,Normal,60+0,1:00:18,1879,-6,Low rating,Low rating,60,0,Bullet,62,0,2,9,4,4,6,13,12,0,0,0,0,0,0,0,1,0,0,13,0
68403,1898,6,2020.09.01,D20,Rated Bullet game,Queen's Gambit Accepted,0,1,0-1,https://lichess.org/PRVWm9nH,Time forfeit,60+0,1:00:18,1928,-6,Low rating,High rating,60,0,Bullet,90,1,0,4,7,3,5,8,12,0,11,0,0,0,3,0,1,0,0,11,2
68411,1356,6,2020.09.01,C41,Rated Blitz tournament https://lichess.org/tournament/RsjOQmEm,Philidor Defense: Nimzowitsch Variation,0,1,0-1,https://lichess.org/A0IbHkI7,Normal,180+0,1:00:19,1372,-9,Low rating,Low rating,180,0,Blitz,46,0,0,3,4,5,4,8,8,2,0,0,0,0,0,2,1,0,1,10,0
68433,1477,13,2020.09.01,C30,Rated Bullet tournament https://lichess.org/tournament/lQIRJxUD,"King's Gambit Declined, Classical Variation",0,1,0-1,https://lichess.org/ytvh1KzN,Time forfeit,30+0,1:00:21,1411,-4,Low rating,Low rating,30,0,Bullet,42,4,2,3,1,2,0,9,3,1,2,0,0,0,0,2,3,1,1,4,0
68444,1536,-7,2020.09.01,C28,Rated Rapid tournament https://lichess.org/tournament/8EtnE5Ki,Vienna Game: Vienna Gambit,1,0,Jan-00,https://lichess.org/wTzIhJcS,Normal,600+0,1:00:21,1558,6,Low rating,Low rating,600,0,Rapid,17,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
68452,1903,7,2020.09.01,B00,Rated Rapid tournament https://lichess.org/tournament/8EtnE5Ki,"Nimzowitsch Defense, Declined Variation",0,1,0-1,https://lichess.org/RGEacfuR,Normal,600+0,1:00:21,1911,-6,High rating,High rating,600,0,Rapid,46,0,1,3,4,3,3,6,8,0,0,0,0,0,0,1,1,1,1,5,0
68453,1630,-6,2020.09.01,B01,Rated Rapid tournament https://lichess.org/tournament/8EtnE5Ki,Scandinavian Defense: Mieses-Kotroc Variation,1,0,Jan-00,https://lichess.org/bz0GCgnO,Time forfeit,600+0,1:00:21,1625,9,Low rating,Low rating,600,0,Rapid,83,2,1,8,6,3,1,13,8,16,0,2,0,3,0,0,1,0,1,12,1
